NAME,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
APPALACHIAN COLLEGE OF PHARMACY,OAKWOOD,VA,USA,37.211495692,-82.005227183
IMMACULATA UNIVERSITY,IMMACULATA,PA,USA,40.0279630000001,-75.5706299999999
INDIANA UNIVERSITY OF PENNSYLVANIA-MAIN CAMPUS,INDIANA,PA,USA,40.6155890000001,-79.159869
JAMESON HEALTH SYSTEM,NEW CASTLE,PA,USA,41.013434117,-80.3517525569999
JOHNSON COLLEGE,SCRANTON,PA,USA,41.4504087120001,-75.6424755529999
KEYSTONE COLLEGE,LA PLUME,PA,USA,41.558969,-75.777456
KING'S COLLEGE,WILKES-BARRE,PA,USA,41.248888945,-75.878031929
LACKAWANNA COLLEGE,SCRANTON,PA,USA,41.411520985,-75.659319076
LEVITTOWN BEAUTY ACADEMY,LEVITTOWN,PA,USA,40.1772320000001,-74.829013
LINCOLN UNIVERSITY,LINCOLN UNIVERSITY,PA,USA,39.807724982,-75.928273229
TRI-COUNTY TECHNICAL COLLEGE,PENDLETON,SC,USA,34.641914,-82.7920149999999
VOORHEES COLLEGE,DENMARK,SC,USA,33.3074550000001,-81.130104
WILLIAMSBURG TECHNICAL COLLEGE,KINGSTREE,SC,USA,33.6570850000001,-79.817984
THE ART INSTITUTE OF SALT LAKE CITY,DRAPER,UT,USA,40.534173658,-111.895543276
FORTIS COLLEGE-COLUMBUS,WESTERVILLE,OH,USA,40.08306314,-82.90018759
BRITE DIVINITY SCHOOL,FORT WORTH,TX,USA,32.709543291,-97.3615608709999
WINTHROP UNIVERSITY,ROCK HILL,SC,USA,34.9383940000001,-81.029884
COLUMBIA STATE COMMUNITY COLLEGE,COLUMBIA,TN,USA,35.616757459,-87.101916559
MOTLOW STATE COMMUNITY COLLEGE,TULLAHOMA,TN,USA,35.36551924,-86.299405693
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-CRUMP,CRUMP,TN,USA,35.221451938,-88.3191525239999
RASMUSSEN COLLEGE-WISCONSIN,GREEN BAY,WI,USA,44.526244111,-88.080783286
EMPIRE BEAUTY SCHOOL-RICHMOND,RICHMOND,VA,USA,37.6360216670001,-77.548932603
SOUTHWEST TENNESSEE COMMUNITY COLLEGE,MEMPHIS,TN,USA,35.1375766290001,-90.03654277
SEWANEE-THE UNIVERSITY OF THE SOUTH,SEWANEE,TN,USA,35.2044298660001,-85.917771903
SOUTHERN ADVENTIST UNIVERSITY,COLLEGEDALE,TN,USA,35.049136,-85.050878
MEMPHIS INSTITUTE OF BARBERING,MEMPHIS,TN,USA,35.1581487920001,-90.014448456
THE UNIVERSITY OF TENNESSEE-CHATTANOOGA,CHATTANOOGA,TN,USA,35.048247256,-85.299812278
ALAMO COMMUNITY COLLEGE DISTRICT CENTRAL OFFICE,SAN ANTONIO,TX,USA,29.4270166310001,-98.502504135
ARLINGTON CAREER INSTITUTE,GRAND PRAIRIE,TX,USA,32.772439696,-97.052772121
AUSTIN COMMUNITY COLLEGE DISTRICT,AUSTIN,TX,USA,30.333507608,-97.681719901
BALDWIN BEAUTY SCHOOL-SOUTH AUSTIN,AUSTIN,TX,USA,30.241666998,-97.783069428
THE ART INSTITUTE OF AUSTIN,AUSTIN,TX,USA,30.4795560000001,-97.6763579999999
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-SILICON VALLEY,SUNNYVALE,CA,USA,37.373170095,-121.999379615
COASTAL BEND COLLEGE,BEEVILLE,TX,USA,28.435756,-97.75632
REMINGTON COLLEGE-DALLAS CAMPUS,GARLAND,TX,USA,32.8606004330001,-96.654112465
CEDAR VALLEY COLLEGE,LANCASTER,TX,USA,32.6256862050001,-96.7634209299999
CLARENDON COLLEGE,CLARENDON,TX,USA,34.945076,-100.904577
TEXAS A & M UNIVERSITY-CORPUS CHRISTI,CORPUS CHRISTI,TX,USA,27.713532748,-97.324675644
INTERNATIONAL CULINARY ARTS AND SCIENCES INSTITUTE,CHESTERLAND,OH,USA,41.524439842,-81.331555916
AMERICAN NATIONAL UNIVERSITY-DAYTON,KETTERING,OH,USA,39.700131223,-84.126973181
CENTRAL TEXAS COLLEGE,KILLEEN,TX,USA,31.1190540000001,-97.809704
COSMETOLOGY CAREER CENTER LLC,CARROLLTON,TX,USA,32.973327678,-96.8435255159999
DALLAS CHRISTIAN COLLEGE,DALLAS,TX,USA,32.9136979560001,-96.887124119
DEL MAR COLLEGE,CORPUS CHRISTI,TX,USA,27.7636233800001,-97.407627071
EL PASO COMMUNITY COLLEGE,EL PASO,TX,USA,31.751612881,-106.369240186
TRINITY VALLEY COMMUNITY COLLEGE,ATHENS,TX,USA,32.195686,-95.858058
LAREDO COMMUNITY COLLEGE,LAREDO,TX,USA,27.5064770000001,-99.520772
LINCOLN COLLEGE OF TECHNOLOGY-GRAND PRAIRIE,GRAND PRAIRIE,TX,USA,32.701683641,-97.056391173
LONE STAR COLLEGE SYSTEM,THE WOODLANDS,TX,USA,30.211216162,-95.4677202399999
UNIVERSITY OF NORTH TEXAS,DENTON,TX,USA,33.2109580000001,-97.151211
SAN JACINTO COMMUNITY COLLEGE,PASADENA,TX,USA,29.6603348090001,-95.115940942
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,SAN ANTONIO,TX,USA,29.5047164850001,-98.576060225
TEXAS A & M UNIVERSITY-COLLEGE STATION,COLLEGE STATION,TX,USA,30.610775,-96.349232
THE UNIVERSITY OF TEXAS AT AUSTIN,AUSTIN,TX,USA,30.2838090000001,-97.736463
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,LUBBOCK,TX,USA,33.5892843410001,-101.891914955
SCIOTO COUNTY CAREER TECHNICAL CENTER,LUCASVILLE,OH,USA,38.8547065660001,-82.979480903
TRUMBULL CAREER & TECHNICAL CENTER,WARREN,OH,USA,41.2806493260001,-80.824807087
ARGOSY UNIVERSITY-THE ART INSTITUTE OF CALIFORNIA-HOLLYWOOD,NORTH HOLLYWOOD,CA,USA,34.166752719,-118.375279834
SAGE COLLEGE,MORENO VALLEY,CA,USA,33.946317236,-117.281388296
MARIAN HEALTH CAREERS CENTER-LOS ANGELES CAMPUS,LOS ANGELES,CA,USA,34.062095732,-118.295073
CAREER AND TECHNOLOGY EDUCATION CENTERS OF LICKING COUNTY,NEWARK,OH,USA,40.099972542,-82.429175169
OHIO TECHNICAL CENTER AT VANTAGE CAREER CENTER,VAN WERT,OH,USA,40.880213482,-84.5728446259999
KAPLAN COLLEGE-LUBBOCK,LUBBOCK,TX,USA,33.586940779,-101.85088412
NEW RIVER COMMUNITY AND TECHNICAL COLLEGE,BEAVER,WV,USA,37.7926638220001,-81.221402908
MOUNTAINLAND APPLIED TECHNOLOGY COLLEGE,LEHI,UT,USA,40.279984158,-111.729325595
THE ART INSTITUTE OF CHARLESTON,CHARLESTON,SC,USA,32.7814238340001,-79.926970722
NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,USA,35.188875211,-111.655559074
UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,USA,33.5897880000001,-91.8129709999999
ANTELOPE VALLEY COLLEGE,LANCASTER,CA,USA,34.6762073260001,-118.186166454
CALIFORNIA STATE UNIVERSITY-STANISLAUS,TURLOCK,CA,USA,37.5257700000001,-120.852511
CALIFORNIA STATE UNIVERSITY-EAST BAY,HAYWARD,CA,USA,37.657070377,-122.058072706
UNIVERSITY OF CALIFORNIA-BERKELEY,BERKELEY,CA,USA,37.8757590000001,-122.24851
UNIVERSITY OF CALIFORNIA-SAN FRANCISCO,SAN FRANCISCO,CA,USA,37.762736295,-122.458049404
CENTRAL ALABAMA COMMUNITY COLLEGE,ALEXANDER CITY,AL,USA,32.9247801390001,-85.9452659569999
OZARKA COLLEGE,MELBOURNE,AR,USA,36.0530309640001,-91.896355096
ARKANSAS STATE UNIVERSITY-BEEBE,BEEBE,AR,USA,35.0741730250001,-91.8953326819999
CHANDLER-GILBERT COMMUNITY COLLEGE,CHANDLER,AZ,USA,33.293897198,-111.795922414
MARICOPA COMMUNITY COLLEGE SYSTEM OFFICE,TEMPE,AZ,USA,33.4129154410001,-111.975785743
THE EVERGREEN STATE COLLEGE,OLYMPIA,WA,USA,47.0738196630001,-122.977491756
SALT LAKE COMMUNITY COLLEGE,SALT LAKE CITY,UT,USA,40.671574891,-111.942809423
WEBER STATE UNIVERSITY,OGDEN,UT,USA,41.1925803870001,-111.944839646
BELLEVUE COLLEGE,BELLEVUE,WA,USA,47.5847780600001,-122.149954652
EASTERN WASHINGTON UNIVERSITY,CHENEY,WA,USA,47.4912931540001,-117.589371342
LAKE WASHINGTON INSTITUTE OF TECHNOLOGY,KIRKLAND,WA,USA,47.705076874,-122.167131032
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,USA,46.7304480000001,-117.158168
YAKIMA VALLEY COLLEGE,YAKIMA,WA,USA,46.586098124,-120.528525092
SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE,MOUNT GAY,WV,USA,37.8517560000001,-82.023014
FOX VALLEY TECHNICAL COLLEGE,APPLETON,WI,USA,44.2831735190001,-88.4589297159999
MORAINE PARK TECHNICAL COLLEGE,FOND DU LAC,WI,USA,43.785223672,-88.417655705
NORTHCENTRAL TECHNICAL COLLEGE,WAUSAU,WI,USA,44.984837,-89.648419
GEORGIA STATE UNIVERSITY-PERIMETER COLLEGE,ATLANTA,GA,USA,33.6885838950001,-84.275037456
CENTRAL TECHNOLOGY CENTER,DRUMRIGHT,OK,USA,35.9942610000001,-96.585322
COLLIN COUNTY COMMUNITY COLLEGE DISTRICT,MCKINNEY,TX,USA,33.0506641320001,-96.677141476
MOORE NORMAN TECHNOLOGY CENTER,NORMAN,OK,USA,35.274433937,-97.4573188099999
METRO TECHNOLOGY CENTERS,OKLAHOMA CITY,OK,USA,35.5125492650001,-97.478182464
PARADISE VALLEY COMMUNITY COLLEGE,PHOENIX,AZ,USA,33.6521353970001,-112.009865398
CANADIAN VALLEY TECHNOLOGY CENTER,EL RENO,OK,USA,35.509207587,-97.881967038
SOUTHEASTERN TECHNICAL COLLEGE,VIDALIA,GA,USA,32.203929513,-82.3658268619999
CRU INSTITUTE OF COSMETOLOGY AND BARBERING,GARDEN GROVE,CA,USA,33.7900542140001,-118.029218627
MODERN TECHNOLOGY SCHOOL,FOUNTAIN VALLEY,CA,USA,33.7231419400001,-117.918837266
THUY PRINCESS BEAUTY COLLEGE,POMONA,CA,USA,34.0576626440001,-117.748468
NORTH-WEST COLLEGE-GLENDALE,GLENDALE,CA,USA,34.1489126990001,-118.255408852
FREMONT COLLEGE,CERRITOS,CA,USA,33.867773357,-118.098315546
KNOX COUNTY CAREER CENTER,MOUNT VERNON,OH,USA,40.3758894440001,-82.475116718
MADISON ADULT CAREER CENTER,MANSFIELD,OH,USA,40.774327741,-82.460912256
REMINGTON COLLEGE-CLEVELAND CAMPUS,CLEVELAND,OH,USA,41.4229513860001,-81.579346737
BROWN MACKIE COLLEGE-FINDLAY,FINDLAY,OH,USA,41.058515443,-83.6195024369999
TOLEDO ACADEMY OF BEAUTY CULTURE-EAST,OREGON,OH,USA,41.638326433,-83.4695399029999
KIAMICHI TECHNOLOGY CENTER-POTEAU,POTEAU,OK,USA,35.0381999620001,-94.633991683
KIAMICHI TECHNOLOGY CENTER-SPIRO,SPIRO,OK,USA,35.240443794,-94.628772808
KIAMICHI TECHNOLOGY CENTERS-TALIHINA CAMPUS,TALIHINA,OK,USA,34.6983470000001,-94.872806
CET-COACHELLA,COACHELLA,CA,USA,33.6922480000001,-116.185875
CET-OXNARD,OXNARD,CA,USA,34.1942076240001,-119.18144994
BEST CARE COLLEGE,EAST ORANGE,NJ,USA,40.765406457,-74.221225899
ELITE SCHOOL OF COSMETOLOGY,NORWALK,OH,USA,41.2336442650001,-82.6080674789999
PAUL MITCHELL THE SCHOOL-LAS VEGAS,LAS VEGAS,NV,USA,36.0166214480001,-115.117161429
HAIR ACADEMY,MONTGOMERY,AL,USA,32.3373930990001,-86.2569266949999
FLORIDA ACADEMY,FORT MYERS,FL,USA,26.6086365030001,-81.824628687
CET-SANTA MARIA,SANTA MARIA,CA,USA,34.9435761890001,-120.441977653
LOS ANGELES ORT COLLEGE-VAN NUYS CAMPUS,VAN NUYS,CA,USA,34.1530123470001,-118.462705063
MT. DIABLO ADULT EDUCATION-MT. DIABLO USD,CONCORD,CA,USA,37.9688468750001,-122.02679791
WESTECH COLLEGE,FONTANA,CA,USA,34.0751550890001,-117.577307841
EASTLAND-FAIRFIELD CAREER AND TECHNICAL SCHOOLS,GROVEPORT,OH,USA,39.88666971,-82.884304555
MAHONING COUNTY CAREER AND TECHNICAL CENTER,CANFIELD,OH,USA,41.032696205,-80.7876679409999
PIONEER CAREER AND TECHNOLOGY CENTER,SHELBY,OH,USA,40.9018748190001,-82.6668162289999
RAPHAEL'S SCHOOL OF BEAUTY CULTURE INC-BOARDMAN,BOARDMAN,OH,USA,41.04475247,-80.662534109
WESTERN TECHNOLOGY CENTER,BURNS FLAT,OK,USA,35.3527740000001,-99.185702
WES WATKINS TECHNOLOGY CENTER,WETUMKA,OK,USA,35.2333051800001,-96.266261634
TECHNICAL INSTITUTE OF COSMETOLOGY ARTS AND SCIENCES,TULSA,OK,USA,36.1525516950001,-95.98131441
NORTHERN TIER CAREER CENTER,TOWANDA,PA,USA,41.8017320000001,-76.4873899999999
HAZLETON AREA CAREER CENTER,HAZLE TWP.,PA,USA,40.9729790480001,-75.9926106519999
ALL-STATE CAREER SCHOOL-PITTSBURGH,WEST MIFFLIN,PA,USA,40.3969153480001,-79.828242276
JNA INSTITUTE OF CULINARY ARTS,PHILADELPHIA,PA,USA,39.935232238,-75.167677602
CRAWFORD COUNTY CAREER AND TECHNICAL CENTER PRACTICAL NURSING PROGRAM,MEADVILLE,PA,USA,41.633674666,-80.1261668609999
INDIAN CAPITAL TECHNOLOGY CENTER-STILWELL,STILWELL,OK,USA,35.8415719450001,-94.634361419
CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER,CLEARFIELD,PA,USA,41.030571835,-78.4186790159999
SAN JOSE-EVERGREEN COMMUNITY COLLEGE DISTRICT,SAN JOSE,CA,USA,37.300846897,-121.771201906
INSTITUTE FOR DOCTORAL STUDIES IN THE VISUAL ARTS,PORTLAND,ME,USA,43.653977169,-70.2721005019999
STATE CAREER COLLEGE,WAUKEGAN,IL,USA,42.3599623540001,-87.85281552
PAUL MITCHELL THE SCHOOL-SPOKANE,SPOKANE VALLEY,WA,USA,47.6582394160001,-117.19926773
DELAWARE COUNTY TECHNICAL SCHOOL-PRACTICAL NURSING PROGRAM,BROOMALL,PA,USA,39.8928176330001,-75.2813054229999
VATTEROTT COLLEGE-OKLAHOMA CITY,WARR ACRES,OK,USA,35.4945032030001,-97.605281637
VIRGINIA COLLEGE-AUSTIN,AUSTIN,TX,USA,30.3204398940001,-97.699883212
ARGOSY UNIVERSITY-DALLAS,FARMERS BRANCH,TX,USA,32.871013599,-96.76763987
VALLEY GRANDE INSTITUTE FOR ACADEMIC STUDIES,WESLACO,TX,USA,26.1582559080001,-97.9903912459999
ORION INSTITUTE,PERRYSBURG,OH,USA,41.5561462900001,-83.598722057
INSTITUTE OF HAIR DESIGN,SHAWNEE,OK,USA,35.3491202640001,-96.913355377
UNIVERSITY OF CALIFORNIA-MERCED,MERCED,CA,USA,37.366237346,-120.424944153
REMINGTON COLLEGE-NORTH HOUSTON CAMPUS,HOUSTON,TX,USA,29.9466689290001,-95.4249165479999
PLATT COLLEGE-NORTH OKC,OKLAHOMA CITY,OK,USA,35.6111280470001,-97.563750856
BRIGHTWOOD COLLEGE-FORT WORTH,FORT WORTH,TX,USA,32.748285159,-97.288868523
PAUL MITCHELL THE SCHOOL-SAN ANTONIO,SAN ANTONIO,TX,USA,29.4908897770001,-98.5848312529999
BECKFIELD COLLEGE-TRI-COUNTY,SPRINGDALE,OH,USA,39.2966825500001,-84.4814258769999
COMMUNITY TECHNOLOGY LEARNING CENTER OF PORTAGE,RAVENNA,OH,USA,41.156062585,-81.241105642
DENTAL ASSISTANT PRO LLC-COLUMBUS,COLUMBUS,OH,USA,40.1001707680001,-82.942004622
DENTAL ASSISTANT PRO-LEBANON,LEBANON,OH,USA,39.4458026680001,-84.19038463
GALEN COLLEGE OF NURSING-CINCINNATI,CINCINNATI,OH,USA,39.283693,-84.365946
AMERICAN NATIONAL UNIVERSITY-CINCINNATI,CINCINNATI,OH,USA,39.190562126,-84.473718705
ENTERPRISE STATE COMMUNITY COLLEGE,ENTERPRISE,AL,USA,31.2974955330001,-85.836955947
TROY UNIVERSITY,TROY,AL,USA,31.800128,-85.950191
GEORGE C WALLACE COMMUNITY COLLEGE-DOTHAN,DOTHAN,AL,USA,31.316086,-85.4635499999999
JOHN C CALHOUN STATE COMMUNITY COLLEGE,TANNER,AL,USA,34.65428,-86.949131
SHELTON STATE COMMUNITY COLLEGE,TUSCALOOSA,AL,USA,33.120531423,-87.561480129
UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,USA,64.855573,-147.825921
ARIZONA STATE UNIVERSITY-TEMPE,TEMPE,AZ,USA,33.4172800000001,-111.935499
ARIZONA WESTERN COLLEGE,YUMA,AZ,USA,32.689306,-114.495968
DINE COLLEGE,TSAILE,AZ,USA,36.2917560000001,-109.216614
PIMA COMMUNITY COLLEGE,TUCSON,AZ,USA,32.2268176910001,-110.985222466
UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,USA,36.065641709,-94.177852322
ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,USA,35.2952270000001,-93.13233
COLLEGE OF THE CANYONS,SANTA CLARITA,CA,USA,34.4031209880001,-118.569523652
CITY COLLEGE OF SAN FRANCISCO,SAN FRANCISCO,CA,USA,37.725953207,-122.451155088
